track_id,est_bpm,brightness,energy_rms,percussiveness
221333139,86.13,2194.92,0.32058,0.07035
226912163,123.05,2491.51,0.36964,0.09428
215121792,123.05,2102.32,0.24479,0.08804
118073704,123.05,2713.01,0.12437,0.12482
218206520,123.05,3041.2,0.25069,0.13977
116658500,123.05,2688.68,0.19333,0.14299
133522644,123.05,2320.14,0.22825,0.09711
57756111,123.05,2589.78,0.23013,0.08634
178798854,123.05,2421.54,0.24168,0.09755
183290555,123.05,2289.85,0.25197,0.09425
196968299,123.05,2322.5,0.22955,0.07104
214921215,123.05,2792.52,0.29092,0.10473
233731642,117.45,1593.66,0.32209,0.04143
159456365,112.35,1570.64,0.19652,0.04472
144717406,117.45,1996.73,0.21265,0.06935
230783963,117.45,1678.64,0.23609,0.04878
163360939,123.05,2659.07,0.18442,0.12548
76922822,117.45,2359.63,0.21272,0.08473
35885536,123.05,2565.91,0.14528,0.11312
126430441,83.35,2423.03,0.24697,0.10676
148040935,129.2,2998.87,0.25506,0.13619
148972611,129.2,2648.56,0.29926,0.0837
229557484,129.2,2123.29,0.33367,0.0715
196520003,123.05,2679.3,0.34125,0.10758
130818716,129.2,1956.74,0.2973,0.05793
125094953,117.45,2661.31,0.27932,0.09595
201355522,123.05,2914.84,0.22718,0.14823
206452777,129.2,2148.33,0.23764,0.08443
106233154,123.05,2397.77,0.26854,0.07776
256589253,129.2,2765.42,0.30249,0.11557
44300384,123.05,3232.11,0.30622,0.15519
191761219,123.05,1806.45,0.24099,0.07521
26285491,129.2,1756.39,0.19188,0.06333
88706770,123.05,1930.99,0.14545,0.06699
38219933,123.05,3533.88,0.28611,0.10575
142159079,123.05,3040.54,0.24766,0.13466
151005422,123.05,2508.73,0.26755,0.08812
33480066,129.2,2563.88,0.33821,0.09216
176302291,123.05,3183.52,0.32166,0.12478
159827709,123.05,2587.08,0.17411,0.14485
16532618,123.05,2351.63,0.18911,0.07877
261403496,123.05,1577.18,0.30757,0.0463
58947367,117.45,2203.38,0.11543,0.11226
112288398,129.2,2534.2,0.32028,0.08014
98126954,123.05,2085.97,0.16845,0.1023
73538313,123.05,1925.56,0.29064,0.065
187877875,117.45,1775.75,0.29345,0.06282
194156156,117.45,2031.26,0.34214,0.08316
199674689,123.05,2343.38,0.22583,0.09503
89197120,129.2,2441.31,0.28961,0.09207
123209750,123.05,2478.03,0.22452,0.11476
31640599,129.2,2671.32,0.30426,0.10786
143035952,123.05,2907.06,0.25499,0.13035
194965514,123.05,1372.57,0.24528,0.03915
253271054,123.05,2202.48,0.22072,0.08579
242819069,123.05,2258.56,0.24725,0.07764
52813548,129.2,2421.06,0.27073,0.09849
49601544,129.2,3439.93,0.21197,0.15901
241438620,123.05,2728.41,0.25791,0.10958
237887698,123.05,3008.07,0.21485,0.1309
63777972,123.05,2821.8,0.23374,0.13344
169921852,123.05,2695.73,0.23299,0.11433
212631185,123.05,2504.29,0.28168,0.09235
202270472,123.05,2363.77,0.23972,0.09864
140550701,117.45,2323.24,0.28851,0.08584
162173931,161.5,2657.49,0.24154,0.0872
154265925,123.05,3046.04,0.24912,0.1178
236706189,123.05,1518.76,0.17651,0.06856
125471242,123.05,1314.09,0.25992,0.04501
160113691,136.0,2244.12,0.1544,0.1061
